date,year,month,mean_rad,median_rad,std_rad,min_rad,max_rad,valid_pixels,total_pixels,valid_pixel_ratio
2018-12-01,2018,12,4.771143,2.57,5.18464,0.47,28.709999,1575,1575,1.0
2019-01-01,2019,1,4.799409,2.35,5.660347,0.29,36.759998,1575,1575,1.0
2019-02-01,2019,2,5.384115,2.79,6.148847,0.44,41.110001,1575,1575,1.0
2019-03-01,2019,3,4.492445,2.37,5.14604,0.53,36.07,1575,1575,1.0
2019-04-01,2019,4,3.945174,2.32,3.910286,0.57,24.870001,1575,1575,1.0
2019-05-01,2019,5,4.344946,2.57,4.357292,0.73,31.629999,1575,1575,1.0
2019-06-01,2019,6,4.051968,2.3,4.129321,0.57,29.690001,1575,1575,1.0
2019-07-01,2019,7,3.445149,1.82,3.807554,0.31,23.99,1575,1575,1.0
2019-08-01,2019,8,3.927625,1.87,4.758702,0.36,35.720001,1575,1575,1.0
2019-09-01,2019,9,2.618311,1.65,2.60043,0.28,18.92,1575,1575,1.0
2019-10-01,2019,10,5.964241,2.79,7.503502,0.65,45.790001,1575,1575,1.0
2019-11-01,2019,11,4.368006,2.2,4.920858,0.41,28.860001,1575,1575,1.0
2019-12-01,2019,12,5.064946,2.24,6.311826,0.32,44.57,1575,1575,1.0
2020-01-01,2020,1,4.790667,2.26,5.888275,0.27,40.389999,1575,1575,1.0
2020-02-01,2020,2,4.926248,2.6,5.490166,0.5,37.310001,1575,1575,1.0
2020-03-01,2020,3,4.855194,2.57,5.295532,0.64,39.009998,1575,1575,1.0
2020-04-01,2020,4,4.255727,2.51,4.227559,0.79,32.549999,1575,1575,1.0
2020-05-01,2020,5,3.87687,2.2,3.924147,0.74,32.029999,1575,1575,1.0
2020-06-01,2020,6,3.935575,2.03,4.49504,0.39,29.57,1575,1575,1.0
2020-07-01,2020,7,3.553054,1.54,4.674581,0.0,70.889999,1575,1575,1.0
2020-08-01,2020,8,2.411975,1.22,3.253722,0.0,24.67,1575,1575,1.0
2020-09-01,2020,9,0.036863,0.0,0.208502,0.0,1.93,1575,1575,1.0
2020-10-01,2020,10,4.563047,2.13,5.472461,0.59,46.799999,1575,1575,1.0
2020-11-01,2020,11,6.429174,3.02,7.689696,0.64,46.049999,1575,1575,1.0
2020-12-01,2020,12,4.932083,2.38,5.740398,0.46,45.490002,1575,1575,1.0
2021-01-01,2021,1,4.320311,2.42,4.427756,0.5,29.67,1575,1575,1.0
2021-02-01,2021,2,5.280559,2.84,5.788888,0.58,52.310001,1575,1575,1.0
2021-03-01,2021,3,4.670768,2.81,4.619958,0.68,41.509998,1575,1575,1.0
2021-04-01,2021,4,4.992064,3.04,4.861454,0.92,43.790001,1575,1575,1.0
2021-05-01,2021,5,4.523257,2.34,5.240773,0.65,51.009998,1575,1575,1.0
2021-06-01,2021,6,4.682019,2.59,5.417701,0.58,50.830002,1575,1575,1.0
2021-07-01,2021,7,3.306044,1.69,3.960075,0.0,30.209999,1575,1575,1.0
2021-08-01,2021,8,0.030406,0.0,0.269273,0.0,4.99,1575,1575,1.0
2021-09-01,2021,9,3.11301,1.23,4.517098,0.0,56.150002,1575,1575,1.0
2021-10-01,2021,10,5.038457,2.79,5.34384,0.74,48.060001,1575,1575,1.0
2021-11-01,2021,11,6.163486,3.18,6.810094,0.71,43.48,1575,1575,1.0
2021-12-01,2021,12,4.926057,2.77,5.076538,0.65,37.09,1575,1575,1.0
2022-01-01,2022,1,5.958685,2.78,7.081077,0.53,64.989998,1575,1575,1.0
2022-02-01,2022,2,5.538305,3.07,5.903531,0.66,44.880001,1575,1575,1.0
2022-03-01,2022,3,5.787308,3.16,6.255447,0.75,52.889999,1575,1575,1.0
2022-04-01,2022,4,5.443276,3.49,4.968537,0.96,39.970001,1575,1575,1.0
2022-05-01,2022,5,5.561365,3.19,5.630919,0.93,52.849998,1575,1575,1.0
2022-06-01,2022,6,4.971898,2.66,5.257418,0.6,30.940001,1575,1575,1.0
2022-07-01,2022,7,0.0,0.0,0.0,0.0,0.0,1575,1575,1.0
2022-08-01,2022,8,4.533435,1.88,5.936529,0.0,54.459999,1575,1575,1.0
2022-09-01,2022,9,5.035232,2.66,5.37217,0.53,37.049999,1575,1575,1.0
2022-10-01,2022,10,6.387346,3.08,7.46219,0.61,56.939999,1575,1575,1.0
2022-11-01,2022,11,6.824553,3.29,8.025093,0.66,73.239998,1575,1575,1.0
2022-12-01,2022,12,6.136101,3.31,6.579528,0.58,49.490002,1575,1575,1.0
2023-01-01,2023,1,5.971149,3.51,5.885184,0.59,37.299999,1575,1575,1.0
2023-02-01,2023,2,6.02492,3.46,6.128588,0.63,48.119999,1575,1575,1.0
2023-03-01,2023,3,6.165365,3.71,6.031874,0.75,48.849998,1575,1575,1.0
2023-04-01,2023,4,6.764527,4.04,6.976009,1.01,65.190002,1575,1575,1.0
2023-05-01,2023,5,6.190032,3.58,6.587865,0.99,71.629997,1575,1575,1.0
2023-06-01,2023,6,3.886724,0.88,7.56442,0.0,81.830002,1575,1575,1.0
2023-07-01,2023,7,5.908089,2.56,8.73337,0.58,94.769997,1575,1575,1.0
