date,mean_forecast,lower_95,upper_95
2026-01-01,8.182356,6.596243,9.76847
2026-02-01,8.486094,6.887379,10.08481
2026-03-01,8.05846,6.447062,9.669858
2026-04-01,8.214848,6.590866,9.83883
2026-05-01,8.291132,6.654663,9.927601
2026-06-01,7.440354,5.791493,9.089214
2026-07-01,6.224585,4.563425,7.885746
2026-08-01,7.278435,5.605065,8.951805
2026-09-01,8.072123,6.386632,9.757614
2026-10-01,9.173907,7.476382,10.871432
2026-11-01,8.994148,7.284673,10.703623
2026-12-01,8.574829,6.853487,10.29617
